ODBA_sampling_rate,GPS_fix_rate,burst_length,Inc_ODBA_q2.5,Inc_ODBA_q97.5,Inc_ODBA_mean,Inc_nsd_q2.5,Inc_nsd_q97.5,Inc_nsd_mean,Inc_ddist_q2.5,Inc_ddist_q97.5,Inc_ddist_mean,Not_ODBA_q2.5,Not_ODBA_q97.5,Not_ODBA_mean,Not_nsd_q2.5,Not_nsd_q97.5,Not_nsd_mean,Not_ddist_q2.5,Not_ddist_q97.5,Not_ddist_mean
6,15,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
12,15,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9438322582477432,0.35948422616925557,0.594285674359619,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
24,15,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9551682814814811,0.35330880364092904,0.596087905484136,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
48,15,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
72,15,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
96,15,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.004125423144354284,0.0894516111161888,0.026662191793966922,8.633937652219972e-5,0.0033476253871298047,0.001422796931734282,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.05256084505396154,7.623456354006133,1.4941041741210346,0.019330463896801615,9.051409523850097,1.8310194358145808
120,15,30,0.014664055555555559,0.227612875,0.07883664067895839,0.004125423144354284,0.0894516111161888,0.026805120216101434,8.633937652219972e-5,0.003508257810198551,0.0014897673007229926,1.069725185185185,0.24863450142450141,0.6002360788444188,0.05320211992004425,7.623456354006133,1.4982257838352797,0.019330463896801615,9.051409523850097,1.8246081209820326
144,15,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.004125423144354284,0.0894516111161888,0.02678503772141408,8.633937652219972e-5,0.003376533936733224,0.008507806065328437,1.049705588888889,0.21743392222222221,0.59062263510615165,0.05256084505396154,7.623456354006133,1.4918151482867517,0.019330463896801615,9.051409523850097,1.8242171082687588
6,30,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
12,30,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9438322582477432,0.35948422616925557,0.594285674359619,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
24,30,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9551682814814811,0.35330880364092904,0.596087905484136,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
48,30,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
72,30,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
96,30,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.004198274892176287,0.07930059709709786,0.023740804621643272,1.5730848953914885e-4,0.005209925085396075,0.00182727255236885,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.049020522873632934,7.028982565670762,1.478047463734373,0.024242378285774045,8.910923865159354,1.8327462918673914
120,30,30,0.014664055555555559,0.227612875,0.07883664067895839,0.004198274892176287,0.07930059709709786,0.02388343178675909,1.5730848953914885e-4,0.005268356280740463,0.0018515021430339158,1.069725185185185,0.24863450142450141,0.6002360788444188,0.05157352727293789,7.028982565670762,1.4821006693002032,0.024242378285774045,8.910923865159354,1.826260729566171
144,30,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.004198274892176287,0.07930059709709786,0.023863950829700484,1.5730848953914885e-4,0.005268356280740463,0.008959830952083202,1.049705588888889,0.21743392222222221,0.59062263510615165,0.049020522873632934,7.028982565670762,1.4757502399443787,0.024242378285774045,8.910923865159354,1.8259673589904808
6,45,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
12,45,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9438322582477432,0.35948422616925557,0.594285674359619,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
24,45,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9551682814814811,0.35330880364092904,0.596087905484136,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
48,45,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
72,45,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
96,45,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.0038451687564265997,0.0803176963893299,0.023662111566202272,4.36498208450265e-4,0.006834097818148162,0.002057292474943396,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.05150671915780139,7.044143919304852,1.4612273866171814,0.02025695165698098,8.924923872203564,1.8138229959942869
120,45,30,0.014664055555555559,0.227612875,0.07883664067895839,0.0038451687564265997,0.0803176963893299,0.023786611720992477,4.36498208450265e-4,0.007522652407624423,0.002137647771121813,1.069725185185185,0.24863450142450141,0.6002360788444188,0.05265005879181709,7.044143919304852,1.465193887283524,0.020915534891020035,8.924923872203564,1.8078663666716228
144,45,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.003881647442414362,0.0803176963893299,0.023774837125069247,4.36498208450265e-4,0.007522652407624423,0.00925790051388179,1.049705588888889,0.21743392222222221,0.59062263510615165,0.05150671915780139,7.044143919304852,1.4589137926255018,0.02025695165698098,8.924923872203564,1.8071142084895415
6,60,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.0036931503794784236,0.07849474100975297,0.023829872754264368,3.2075986832839524e-4,0.007245376623196418,0.0023594395977089796,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.05064298054035171,7.023012238247152,1.4398657729871887,0.024622029208347378,8.902202928028041,1.8116930424823667
12,60,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.0036931503794784236,0.07849474100975297,0.023829872754264368,3.2075986832839524e-4,0.007245376623196418,0.0023594395977089796,0.9438322582477432,0.35948422616925557,0.594285674359619,0.05064298054035171,7.023012238247152,1.4398657729871887,0.024622029208347378,8.902202928028041,1.8116930424823667
24,60,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.0036931503794784236,0.07849474100975297,0.023829872754264368,3.2075986832839524e-4,0.007245376623196418,0.0023594395977089796,0.9551682814814811,0.35330880364092904,0.596087905484136,0.05064298054035171,7.023012238247152,1.4398657729871887,0.024622029208347378,8.902202928028041,1.8116930424823667
48,60,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.0036931503794784236,0.07849474100975297,0.023829872754264368,3.2075986832839524e-4,0.007245376623196418,0.0023594395977089796,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.05064298054035171,7.023012238247152,1.4398657729871887,0.024622029208347378,8.902202928028041,1.8116930424823667
72,60,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.0036931503794784236,0.07849474100975297,0.023829872754264368,3.2075986832839524e-4,0.007245376623196418,0.0023594395977089796,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.05064298054035171,7.023012238247152,1.4398657729871887,0.024622029208347378,8.902202928028041,1.8116930424823667
96,60,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.0036931503794784236,0.07849474100975297,0.0237432432072568,3.2075986832839524e-4,0.007245376623196418,0.0023620328095606104,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.05064298054035171,7.023012238247152,1.4397668229225766,0.024622029208347378,8.902202928028041,1.8117633816733525
120,60,30,0.014664055555555559,0.227612875,0.07883664067895839,0.0036931503794784236,0.07849474100975297,0.023861447481857975,3.2075986832839524e-4,0.007245376623196418,0.002368063333367311,1.069725185185185,0.24863450142450141,0.6002360788444188,0.05119125798456741,7.023012238247152,1.443829020994427,0.024622029208347378,8.902202928028041,1.8074408482822866
144,60,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.0036931503794784236,0.07849474100975297,0.023865984579586847,3.2075986832839524e-4,0.007277836998984163,0.009429124865261124,1.049705588888889,0.21743392222222221,0.59062263510615165,0.05064298054035171,7.023012238247152,1.4375194961935644,0.024622029208347378,8.902202928028041,1.8050112907827445
6,75,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.00356507271301725,0.042934002629763296,0.021116465160096277,4.210605173477365e-4,0.007649553258159289,0.002641513735408157,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.04622968949973633,7.22760691638586,1.4281288901645732,0.02147824348236245,8.912586604006373,1.8219673523382633
12,75,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.00356507271301725,0.042934002629763296,0.021116465160096277,4.210605173477365e-4,0.007649553258159289,0.002641513735408157,0.9438322582477432,0.35948422616925557,0.594285674359619,0.04622968949973633,7.22760691638586,1.4281288901645732,0.02147824348236245,8.912586604006373,1.8219673523382633
24,75,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.00356507271301725,0.042934002629763296,0.021116465160096277,4.210605173477365e-4,0.007649553258159289,0.002641513735408157,0.9551682814814811,0.35330880364092904,0.596087905484136,0.04622968949973633,7.22760691638586,1.4281288901645732,0.02147824348236245,8.912586604006373,1.8219673523382633
48,75,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.00356507271301725,0.042934002629763296,0.021116465160096277,4.210605173477365e-4,0.007649553258159289,0.002641513735408157,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.04622968949973633,7.22760691638586,1.4281288901645732,0.02147824348236245,8.912586604006373,1.8219673523382633
72,75,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.00356507271301725,0.042934002629763296,0.021116465160096277,4.210605173477365e-4,0.007649553258159289,0.002641513735408157,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.04622968949973633,7.22760691638586,1.4281288901645732,0.02147824348236245,8.912586604006373,1.8219673523382633
96,75,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.00356507271301725,0.042934002629763296,0.021069329912987784,4.210605173477365e-4,0.007649553258159289,0.0026349340176341825,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.04622968949973633,7.22760691638586,1.4280216655582971,0.02147824348236245,8.912586604006373,1.8220532366468036
120,75,30,0.014664055555555559,0.227612875,0.07883664067895839,0.0034335613973232914,0.042934002629763296,0.02113939002276558,4.210605173477365e-4,0.007726567192963109,0.002624241054796005,1.069725185185185,0.24863450142450141,0.6002360788444188,0.04622968949973633,7.22760691638586,1.4322153974962264,0.02147824348236245,8.912586604006373,1.8157119347070299
144,75,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.00356507271301725,0.042934002629763296,0.021048622877435346,4.210605173477365e-4,0.007726567192963109,0.009808599148410277,1.049705588888889,0.21743392222222221,0.59062263510615165,0.04582623950167104,7.22760691638586,1.4255850155072891,0.02147824348236245,8.912586604006373,1.815285370338156
6,90,30,0.030333397336571758,0.1657258050099083,0.0804003629616554,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9396149003881213,0.3692965224089636,0.5941165296228503,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
12,90,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9438322582477432,0.35948422616925557,0.594285674359619,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
24,90,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9551682814814811,0.35330880364092904,0.596087905484136,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
48,90,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
72,90,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
96,90,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.0038817246066788595,0.08089445545893374,0.023524665629194336,5.162827044580673e-4,0.0095780173071012345,0.0028649076376218996,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.04217843350672675,7.236792228477752,1.4358995178382765,0.024576792788121426,9.164536530371151,1.813166156989485
120,90,30,0.014664055555555559,0.227612875,0.07883664067895839,0.0038817246066788595,0.08089445545893374,0.02367634559111353,5.162827044580673e-4,0.009601981338967306,0.0028661864730992657,1.069725185185185,0.24863450142450141,0.6002360788444188,0.04816659014696485,7.236792228477752,1.4395744625688542,0.024576792788121426,9.164536530371151,1.8115419686771297
144,90,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.0038817246066788595,0.08089445545893374,0.023651470376915486,5.162827044580673e-4,0.010509352754295712,0.0101771177543629,1.049705588888889,0.21743392222222221,0.59062263510615165,0.04217843350672675,7.236792228477752,1.4335967114807284,0.024576792788121426,9.164536530371151,1.806565803136058
6,15,20,0.02660921663135593,0.15487404166666666,0.07152842190172956,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9029618313018484,0.33968852599789917,0.5578526478476196,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
12,15,20,0.023892845351890755,0.15121612409715948,0.07045268490647379,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9065835555409663,0.3375522875,0.5580517092154065,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
24,15,20,0.021492439583333328,0.16042652745901637,0.070409041811021,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9143451012711858,0.32363717926912566,0.5595832905992375,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
48,15,20,0.0163421375,0.1877340916666666,0.06886913861756118,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9062220166666666,0.28480180603448274,0.5594188339619405,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
72,15,20,0.01420045,0.22662814374999996,0.0737826565143327,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9678557276785711,0.2796419982142857,0.5593285329308219,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
96,15,20,0.013505429687499992,0.18230725416666663,0.06372375920758928,0.004125423144354284,0.0894516111161888,0.026662191793966922,8.633937652219972e-5,0.0033476253871298047,0.001422796931734282,0.9734343370535704,0.24434952187499998,0.5604834361599351,0.05256084505396154,7.623456354006133,1.4941041741210346,0.019330463896801615,9.051409523850097,1.8310194358145808
120,15,20,0.013617591856060613,0.2168446874999999,0.0714162622923951,0.004230601954326691,0.16710937900635792,0.0287510438276781,8.633937652219972e-5,0.003548538391055169,0.0024973036645655074,1.014354571969697,0.2398578076923077,0.5619193789478495,0.05256084505396154,7.623456354006133,1.4976289720209022,0.018709668182198234,9.051409523850097,1.8254572390474217
144,15,20,0.011722512499999995,0.2512306874999998,0.06861562294823233,0.004125423144354284,0.0894516111161888,0.02678503772141408,8.633937652219972e-5,0.003376533936733224,0.008507806065328437,1.0194144375,0.1912329625,0.5553733764543339,0.05256084505396154,7.623456354006133,1.4918151482867517,0.019330463896801615,9.051409523850097,1.8242171082687588
6,30,20,0.02660921663135593,0.15487404166666666,0.07152842190172956,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9029618313018484,0.33968852599789917,0.5578526478476196,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
12,30,20,0.023892845351890755,0.15121612409715948,0.07045268490647379,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9065835555409663,0.3375522875,0.5580517092154065,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
24,30,20,0.021492439583333328,0.16042652745901637,0.070409041811021,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9143451012711858,0.32363717926912566,0.5595832905992375,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
48,30,20,0.0163421375,0.1877340916666666,0.06886913861756118,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9062220166666666,0.28480180603448274,0.5594188339619405,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
72,30,20,0.01420045,0.22662814374999996,0.0737826565143327,0.004198274892176287,0.07930059709709786,0.023825164223557137,1.5730848953914885e-4,0.005209925085396075,0.0018303148196496771,0.9678557276785711,0.2796419982142857,0.5593285329308219,0.049020522873632934,7.028982565670762,1.4781368780260895,0.024242378285774045,8.910923865159354,1.832652715108503
96,30,20,0.013505429687499992,0.18230725416666663,0.06372375920758928,0.004198274892176287,0.07930059709709786,0.023740804621643272,1.5730848953914885e-4,0.005209925085396075,0.00182727255236885,0.9734343370535704,0.24434952187499998,0.5604834361599351,0.049020522873632934,7.028982565670762,1.478047463734373,0.024242378285774045,8.910923865159354,1.8327462918673914
120,30,20,0.013617591856060613,0.2168446874999999,0.0714162622923951,0.004198274892176287,0.09213977073055094,0.025827389671327493,1.5730848953914885e-4,0.005870707001188151,0.0028975794714538286,1.014354571969697,0.2398578076923077,0.5619193789478495,0.049020522873632934,7.028982565670762,1.481415866077248,0.024242378285774045,8.910923865159354,1.8271126724239855
144,30,20,0.011722512499999995,0.2512306874999998,0.06861562294823233,0.004198274892176287,0.07930059709709786,0.023863950829700484,1.5730848953914885e-4,0.005268356280740463,0.008959830952083202,1.0194144375,0.1912329625,0.5553733764543339,0.049020522873632934,7.028982565670762,1.4757502399443787,0.024242378285774045,8.910923865159354,1.8259673589904808
6,45,20,0.02660921663135593,0.15487404166666666,0.07152842190172956,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9029618313018484,0.33968852599789917,0.5578526478476196,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
12,45,20,0.023892845351890755,0.15121612409715948,0.07045268490647379,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9065835555409663,0.3375522875,0.5580517092154065,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
24,45,20,0.021492439583333328,0.16042652745901637,0.070409041811021,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9143451012711858,0.32363717926912566,0.5595832905992375,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
48,45,20,0.0163421375,0.1877340916666666,0.06886913861756118,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9062220166666666,0.28480180603448274,0.5594188339619405,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
72,45,20,0.01420045,0.22662814374999996,0.0737826565143327,0.0038451687564265997,0.0803176963893299,0.02372961967299321,4.36498208450265e-4,0.006834097818148162,0.0020595540663038824,0.9678557276785711,0.2796419982142857,0.5593285329308219,0.05150671915780139,7.044143919304852,1.4613171493877877,0.02025695165698098,8.924923872203564,1.8137743752782238
96,45,20,0.013505429687499992,0.18230725416666663,0.06372375920758928,0.0038451687564265997,0.0803176963893299,0.023662111566202272,4.36498208450265e-4,0.006834097818148162,0.002057292474943396,0.9734343370535704,0.24434952187499998,0.5604834361599351,0.05150671915780139,7.044143919304852,1.4612273866171814,0.02025695165698098,8.924923872203564,1.8138229959942869
120,45,20,0.013617591856060613,0.2168446874999999,0.0714162622923951,0.003881647442414362,0.09197205804206768,0.02573753646315615,4.36498208450265e-4,0.008049222765629574,0.0031782042887532266,1.014354571969697,0.2398578076923077,0.5619193789478495,0.05150671915780139,7.044143919304852,1.4644633993088079,0.02025695165698098,8.924923872203564,1.8085946305662604
